callee,caller,spect
Dia,Ceto,"[[0.12993979 0.03475629 0.12497561 ... 0.2606963  0.22592169 0.10881731]
 [0.11167553 0.08333184 0.09369112 ... 0.24483127 0.2162104  0.16638542]
 [0.09398681 0.10052449 0.07750495 ... 0.25058969 0.17537031 0.15282125]
 ...
 [0.0925304  0.0938157  0.09611969 ... 0.61200864 0.52861382 0.48668994]
 [0.0144813  0.09046007 0.10793404 ... 0.46988656 0.40600528 0.35073336]
 [0.03885698 0.10278068 0.09323999 ... 0.4838325  0.47509852 0.37597652]]"
Dia,Dionysus,"[[0.47384134 0.46577829 0.41147558 ... 0.12122165 0.08827633 0.15891355]
 [0.4700367  0.4872062  0.38131157 ... 0.14217388 0.11576618 0.12192146]
 [0.51821362 0.57178141 0.46206639 ... 0.08864861 0.14142631 0.15669238]
 ...
 [0.25546434 0.29033411 0.24006668 ... 0.16578562 0.20728798 0.10456415]
 [0.25832879 0.34405363 0.34443994 ... 0.15359472 0.1849388  0.10891537]
 [0.30688954 0.38686416 0.33418742 ... 0.18407795 0.15657591 0.11522701]]"
Adonis,Ceto,"[[0.11785158 0.16927415 0.15059985 ... 0.19641142 0.14995349 0.16352954]
 [0.16021972 0.16940619 0.08470308 ... 0.17335852 0.12501961 0.14535283]
 [0.15979538 0.17837136 0.09464329 ... 0.14934573 0.14077899 0.15593661]
 ...
 [0.09266214 0.11991384 0.15401514 ... 0.31342268 0.24287465 0.22927485]
 [0.11877712 0.15737055 0.1648372  ... 0.20383214 0.16559241 0.17785368]
 [0.15441869 0.16418691 0.17572637 ... 0.14147297 0.15495447 0.16342479]]"
Adonis,Dia,"[[0.143582   0.13385792 0.08695944 ... 0.0954872  0.09150916 0.13577335]
 [0.12771517 0.13644786 0.09939133 ... 0.10503987 0.10545934 0.10754498]
 [0.17109589 0.25681647 0.16345044 ... 0.10845446 0.06687385 0.09748065]
 ...
 [0.12243088 0.13337874 0.09355803 ... 0.37638201 0.36877087 0.32133826]
 [0.15870561 0.12770425 0.13206313 ... 0.22071474 0.25542903 0.26696471]
 [0.12406475 0.15506723 0.11777955 ... 0.17269874 0.18197773 0.22148446]]"
Ceto,Dia,"[[0.22609606 0.22318228 0.29814044 ... 0.21543727 0.16923864 0.14170345]
 [0.28948779 0.31583715 0.30752072 ... 0.21569807 0.21702584 0.13499953]
 [0.29670491 0.33220947 0.30058066 ... 0.20098291 0.20721305 0.1264545 ]
 ...
 [0.07381657 0.14891184 0.12937177 ... 0.14305092 0.16034812 0.10662327]
 [0.08250825 0.14056134 0.14496808 ... 0.15028694 0.16008962 0.08590371]
 [0.06985519 0.11646281 0.14948688 ... 0.16886254 0.14036674 0.0958274 ]]"
Dia,Dionysus,"[[0.08624449 0.07795921 0.08122743 ... 0.22406681 0.15923986 0.17052069]
 [0.09918517 0.06323305 0.1035745  ... 0.16443007 0.12163479 0.11008206]
 [0.08424419 0.12277987 0.16683994 ... 0.20238917 0.15098589 0.12744014]
 ...
 [0.01285081 0.11140754 0.15725232 ... 0.34426532 0.23590321 0.20872851]
 [0.02822853 0.10624209 0.15023218 ... 0.29647672 0.16401298 0.16134138]
 [0.02326338 0.09062936 0.12709283 ... 0.24782297 0.15415286 0.10288549]]"
Bhumi,Brahma,"[[0.11707877 0.10633103 0.14777437 ... 0.12448901 0.08475293 0.08949961]
 [0.08061177 0.11285842 0.11172322 ... 0.12712032 0.09141011 0.00627352]
 [0.14294783 0.12724326 0.12703463 ... 0.09328369 0.07388276 0.03245074]
 ...
 [0.08402015 0.12975353 0.1233877  ... 0.08597808 0.07993614 0.10096013]
 [0.07591409 0.11062791 0.13515325 ... 0.08962287 0.09626614 0.09665969]
 [0.10734204 0.12837153 0.15581308 ... 0.14070934 0.14024018 0.07383686]]"
Ella,Dionysus,"[[0.27599961 0.64335073 0.68124579 ... 0.42371697 0.35852282 0.27367578]
 [0.24230398 0.49128922 0.72151616 ... 0.44008239 0.3651971  0.29324895]
 [0.22666092 0.3302316  0.65718487 ... 0.43835355 0.37187567 0.33605239]
 ...
 [0.10998209 0.24245551 0.28344982 ... 0.17586216 0.10424103 0.02554115]
 [0.14769663 0.1978546  0.22430638 ... 0.21522864 0.13265328 0.08852942]
 [0.15934785 0.16260481 0.24031404 ... 0.20992981 0.10345737 0.09158115]]"
Dionysus,Dia,"[[0.55423624 0.78737898 0.58277334 ... 0.09751016 0.14879745 0.07821133]
 [0.49985947 0.80884262 0.66891646 ... 0.10250891 0.10942714 0.08416443]
 [0.43520959 0.72336181 0.76610585 ... 0.06891333 0.0921535  0.04188182]
 ...
 [0.2667972  0.21929305 0.15231435 ... 0.30274303 0.24537654 0.16569618]
 [0.3483699  0.28340209 0.21568755 ... 0.31050833 0.25834272 0.16395066]
 [0.37409659 0.3124027  0.23936952 ... 0.21407339 0.22517478 0.12937532]]"
Dionysus,Dia,"[[0.28456816 0.22263796 0.21727886 ... 0.14115084 0.10343492 0.14776506]
 [0.35107425 0.31665214 0.2244424  ... 0.09160737 0.12468082 0.07889707]
 [0.36147719 0.34833359 0.23770068 ... 0.0750847  0.10720961 0.08182376]
 ...
 [0.15477099 0.16522172 0.16138073 ... 0.22732633 0.17687746 0.11868726]
 [0.15199446 0.15936947 0.13348919 ... 0.20011136 0.17544185 0.11014893]
 [0.12876388 0.12959889 0.11235183 ... 0.19224669 0.16938721 0.13233582]]"
Adonis,Dionysus,"[[0.53402397 0.39223813 0.3394548  ... 0.07337284 0.11363799 0.0847793 ]
 [0.65851078 0.48228433 0.45268163 ... 0.0653039  0.06031459 0.07016292]
 [0.69063588 0.61284436 0.54977228 ... 0.02361165 0.07684616 0.09196557]
 ...
 [0.09845933 0.12903092 0.13697229 ... 0.12333939 0.10478692 0.04662699]
 [0.07258127 0.12075509 0.09959767 ... 0.08431958 0.08150171 0.06856383]
 [0.08695475 0.11798789 0.03721007 ... 0.03322071 0.05223307 0.07523562]]"
Bhumi,Ella,"[[0.19365377 0.18823439 0.24382436 ... 0.12496747 0.12235942 0.07520359]
 [0.16160176 0.17112367 0.24666068 ... 0.12890414 0.10508856 0.02214496]
 [0.19874173 0.21731641 0.22592509 ... 0.11714898 0.08051928 0.04008106]
 ...
 [0.27374658 0.29534488 0.35523056 ... 0.03260633 0.04126351 0.04147076]
 [0.27402493 0.31395514 0.37098798 ... 0.05190661 0.04897496 0.03927753]
 [0.2642262  0.34989296 0.35167379 ... 0.0910448  0.03555667 0.07894952]]"
Dionysus,Dia,"[[0.06718394 0.12717848 0.0803591  ... 0.17556125 0.09144712 0.00305783]
 [0.1201529  0.13334321 0.11764407 ... 0.18060724 0.13483723 0.09794094]
 [0.17927959 0.12979225 0.11867299 ... 0.18747333 0.10461895 0.11150047]
 ...
 [0.12639194 0.08364248 0.0740834  ... 0.09270006 0.09875679 0.0784893 ]
 [0.08748511 0.10297376 0.08850408 ... 0.11354963 0.10729701 0.11080393]
 [0.04423041 0.10843283 0.08106167 ... 0.10688809 0.10229279 0.11906093]]"
Dia,Dionysus,"[[0.49120316 0.48375809 0.38798133 ... 0.16943225 0.13946892 0.12713402]
 [0.50271135 0.4959279  0.39485004 ... 0.14060107 0.16274652 0.16240596]
 [0.54873079 0.49641849 0.39726245 ... 0.09879247 0.11905003 0.16776673]
 ...
 [0.09995086 0.13730195 0.12565654 ... 0.15569142 0.10119809 0.20095452]
 [0.13237512 0.1795259  0.13504799 ... 0.16574682 0.1496621  0.12064205]
 [0.14626145 0.15943006 0.13913632 ... 0.14607269 0.17488292 0.09645701]]"
Dionysus,Dia,"[[0.53643405 0.35272211 0.33623263 ... 0.114267   0.08765595 0.07608995]
 [0.63387203 0.49972908 0.37449783 ... 0.07243336 0.09646627 0.06212877]
 [0.62241526 0.52438108 0.39210023 ... 0.05981945 0.11366024 0.07448587]
 ...
 [0.09350031 0.07145308 0.05607948 ... 0.09940317 0.08899914 0.0706866 ]
 [0.12439252 0.05213521 0.07004967 ... 0.08897238 0.0915859  0.04078512]
 [0.11228351 0.09365279 0.10922579 ... 0.07002477 0.05759889 0.06625761]]"
Dionysus,Dia,"[[0.15005069 0.17796695 0.11539494 ... 0.12175149 0.03685214 0.2024186 ]
 [0.20316337 0.15586035 0.14039364 ... 0.15466995 0.09762312 0.18731729]
 [0.18226704 0.12720246 0.12303332 ... 0.17328506 0.14937321 0.15810365]
 ...
 [0.14682193 0.11884175 0.14735772 ... 0.13895013 0.13051515 0.16871789]
 [0.12943851 0.1646052  0.16423335 ... 0.18643933 0.15001052 0.2004451 ]
 [0.17279985 0.12659596 0.17412357 ... 0.12421395 0.16665682 0.17938328]]"
Dia,Dionysus,"[[0.14838234 0.22408253 0.21941018 ... 0.13986383 0.09855847 0.07620239]
 [0.17312006 0.2029859  0.16731718 ... 0.12358129 0.10639183 0.11819328]
 [0.17134581 0.2543395  0.19322932 ... 0.11777626 0.0839966  0.10433886]
 ...
 [0.17366492 0.14491068 0.12090174 ... 0.1174063  0.09093323 0.14361781]
 [0.17489193 0.16594069 0.1300552  ... 0.11568937 0.11952048 0.19164924]
 [0.13352394 0.1689092  0.16315014 ... 0.13487496 0.1481953  0.09755841]]"
Bhumi,Dia,"[[0.28366921 0.2228261  0.17242375 ... 0.1717949  0.15635674 0.17215225]
 [0.30246416 0.21791138 0.19067655 ... 0.13402406 0.14196436 0.15783206]
 [0.2650241  0.21777158 0.19303501 ... 0.10258719 0.12566343 0.08311797]
 ...
 [0.16700775 0.23450409 0.23612572 ... 0.68606187 0.62832773 0.57368757]
 [0.16949376 0.23528422 0.27471624 ... 0.75422967 0.70086343 0.69699919]
 [0.18926655 0.21603127 0.2456884  ... 0.79097294 0.75886544 0.72920989]]"
Dia,Dionysus,"[[0.32890225 0.50270396 0.39772233 ... 0.18342719 0.10662816 0.09905637]
 [0.55666707 0.57969154 0.49705947 ... 0.20282785 0.14818949 0.1339587 ]
 [0.76638447 0.65729221 0.55035051 ... 0.20625227 0.17493635 0.17362876]
 ...
 [0.22837485 0.12612198 0.10880131 ... 0.11573277 0.11518652 0.13670114]
 [0.21436755 0.12132628 0.14299547 ... 0.15025978 0.1220021  0.1305599 ]
 [0.17332524 0.09489833 0.1187111  ... 0.12163808 0.1352575  0.17313061]]"
